,date,passengers
186,6/28/2022,2147125.0
187,6/27/2022,2374892.0
188,6/26/2022,2469720.0
189,6/25/2022,2198435.0
190,6/24/2022,2471808.0
191,6/23/2022,2453936.0
192,6/22/2022,2197876.0
193,6/21/2022,2158912.0
194,6/20/2022,2431925.0
195,6/19/2022,2398687.0
196,6/18/2022,2186387.0
197,6/17/2022,2454485.0
198,6/16/2022,2387496.0
199,6/15/2022,2238873.0
200,6/14/2022,2139865.0
201,6/13/2022,2389152.0
202,6/12/2022,2456971.0
203,6/11/2022,2153865.0
204,6/10/2022,2443671.0
205,6/9/2022,2396538.0
206,6/8/2022,2175579.0
207,6/7/2022,2067274.0
208,6/6/2022,2286429.0
209,6/5/2022,2396442.0
210,6/4/2022,1992251.0
211,6/3/2022,2347283.0
212,6/2/2022,2228271.0
213,6/1/2022,2023231.0
214,5/31/2022,2114935.0
215,5/30/2022,2319237.0
216,5/29/2022,2103022.0
217,5/28/2022,2000335.0
218,5/27/2022,2397928.0
219,5/26/2022,2399579.0
220,5/25/2022,2165771.0
221,5/24/2022,2034843.0
222,5/23/2022,2339945.0
223,5/22/2022,2364240.0
224,5/21/2022,1999651.0
225,5/20/2022,2356404.0
226,5/19/2022,2366865.0
227,5/18/2022,2117010.0
228,5/17/2022,2042144.0
229,5/16/2022,2282944.0
230,5/15/2022,2399801.0
231,5/14/2022,1984654.0
232,5/13/2022,2358444.0
233,5/12/2022,2337876.0
234,5/11/2022,2030630.0
235,5/10/2022,1908906.0
236,5/9/2022,2244645.0
237,5/8/2022,2255547.0
238,5/7/2022,1884883.0
239,5/6/2022,2292080.0
240,5/5/2022,2240816.0
241,5/4/2022,1962832.0
242,5/3/2022,1827782.0
243,5/2/2022,2146993.0
244,5/1/2022,2279287.0
245,4/30/2022,1885701.0
246,4/29/2022,2286852.0
247,4/28/2022,2267171.0
248,4/27/2022,1999806.0
249,4/26/2022,1870392.0
250,4/25/2022,2189296.0
251,4/24/2022,2298561.0
252,4/23/2022,1915707.0
253,4/22/2022,2309474.0
254,4/21/2022,2288508.0
255,4/20/2022,2034403.0
256,4/19/2022,1988681.0
257,4/18/2022,2292729.0
258,4/17/2022,2214376.0
259,4/16/2022,1903886.0
260,4/15/2022,2315430.0
261,4/14/2022,2354474.0
262,4/13/2022,2053892.0
263,4/12/2022,1883285.0
264,4/11/2022,2188196.0
265,4/10/2022,2300909.0
266,4/9/2022,1959523.0
267,4/8/2022,2327849.0
268,4/7/2022,2227151.0
269,4/6/2022,1982006.0
270,4/5/2022,1850647.0
271,4/4/2022,2141153.0
272,4/3/2022,2206569.0
273,4/2/2022,1922516.0
274,4/1/2022,2287653.0
275,3/31/2022,2219675.0
276,3/30/2022,1887509.0
277,3/29/2022,1747597.0
278,3/28/2022,2141002.0
279,3/27/2022,2313481.0
280,3/26/2022,2022231.0
281,3/25/2022,2304825.0
282,3/24/2022,2255090.0
283,3/23/2022,1971979.0
284,3/22/2022,1859077.0
285,3/21/2022,2177240.0
286,3/20/2022,2379182.0
287,3/19/2022,2108715.0
288,3/18/2022,2319876.0
289,3/17/2022,2231375.0
290,3/16/2022,2000210.0
291,3/15/2022,1870647.0
292,3/14/2022,2203639.0
293,3/13/2022,2293374.0
294,3/12/2022,1998129.0
295,3/11/2022,2299583.0
296,3/10/2022,2185904.0
297,3/9/2022,1850986.0
298,3/8/2022,1657723.0
299,3/7/2022,2019553.0
300,3/6/2022,2184096.0
301,3/5/2022,1831741.0
302,3/4/2022,2139036.0
303,3/3/2022,2053525.0
304,3/2/2022,1740923.0
305,3/1/2022,1638699.0
306,2/28/2022,1984773.0
307,2/27/2022,2150118.0
308,2/26/2022,1842536.0
309,2/25/2022,2104233.0
310,2/24/2022,1988432.0
311,2/23/2022,1755527.0
312,2/22/2022,1785417.0
313,2/21/2022,2222002.0
314,2/20/2022,2068827.0
315,2/19/2022,1826833.0
316,2/18/2022,2244042.0
317,2/17/2022,1986581.0
318,2/16/2022,1670550.0
319,2/15/2022,1541222.0
320,2/14/2022,1737532.0
321,2/13/2022,1821279.0
322,2/12/2022,1538874.0
323,2/11/2022,1918436.0
324,2/10/2022,1786323.0
325,2/9/2022,1390835.0
326,2/8/2022,1239137.0
327,2/7/2022,1592651.0
328,2/6/2022,1786681.0
329,2/5/2022,1399603.0
330,2/4/2022,1583678.0
331,2/3/2022,1342502.0
332,2/2/2022,1196728.0
333,2/1/2022,1203689.0
334,1/31/2022,1539356.0
335,1/30/2022,1716055.0
336,1/29/2022,1070815.0
337,1/28/2022,1634225.0
338,1/27/2022,1560893.0
339,1/26/2022,1200998.0
340,1/25/2022,1063856.0
341,1/24/2022,1399342.0
342,1/23/2022,1649090.0
343,1/22/2022,1246901.0
344,1/21/2022,1514895.0
345,1/20/2022,1470973.0
346,1/19/2022,1201589.0
347,1/18/2022,1301256.0
348,1/17/2022,1704328.0
349,1/16/2022,1438492.0
350,1/15/2022,1421612.0
351,1/14/2022,1741376.0
352,1/13/2022,1543648.0
353,1/12/2022,1234827.0
354,1/11/2022,1129725.0
355,1/10/2022,1453110.0
356,1/9/2022,1706857.0
357,1/8/2022,1450135.0
358,1/7/2022,1518098.0
359,1/6/2022,1543985.0
360,1/5/2022,1501170.0
361,1/4/2022,1673499.0
362,1/3/2022,1921966.0
363,1/2/2022,2026176.0
364,1/1/2022,1616850.0
